RA,ANO,FASE,TURMA,IDADE,GENERO,ANO_INGRESSO,ANOS_NA_PM,INSTITUICAO,INSTITUICAO_GRUPO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,MAT,POR,ING,FASE_IDEAL,DEFASAGEM,CLASSE_DEFASAGEM,EM_DEFASAGEM,PONTO_VIRADA,N_AVALIACOES,SEM_AVALIACAO,IAA_ZERADO,DEFASAGEM_T1,IAN_T1,INDE_T1,IDA_T1,IEG_T1,PEDRA_T1,FASE_T1,DEFASADO_T1,PIOROU_DEFASAGEM,RISCO_DEFASAGEM,QUEDA_INDE
RA-419,2022,2.0,L,12.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Ametista,7.359,5.0,6.9,9.2,7.5,5.6,,8.389,5.3,8.5,,3.0,-1,Moderada,1,1.0,3.0,False,0,0,10.0,7.7261,7.6,9.5,Ametista,3.0,0,0,0,0.0
RA-420,2022,2.0,L,11.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Ametista,7.461,10.0,4.5,9.0,9.5,5.6,,8.0,1.3,7.7,,2.0,0,Em fase,0,0.0,3.0,False,0,0,10.0,7.356358333,5.3,9.3,Ametista,3.0,0,0,0,1.0
RA-421,2022,2.0,L,11.0,Masculino,2021,1,Escola Pública,Pública,Topázio,8.717,10.0,8.8,9.3,8.5,7.5,,9.111,9.2,8.5,,2.0,0,Em fase,0,1.0,3.0,False,0,0,10.0,8.030716667,7.3,9.9,Topázio,3.0,0,0,0,1.0
RA-422,2022,2.0,L,12.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.746,5.0,2.5,10.0,8.5,7.5,,7.5,1.0,4.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,5.57,4.4,7.8,Quartzo,2.0,1,0,1,1.0
RA-423,2022,2.0,L,12.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.647,5.0,2.3,9.6,8.4,7.5,,7.667,0.5,4.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,6.607533333,3.4,8.7,Ágata,2.0,1,0,1,1.0
RA-424,2022,2.0,L,12.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.94,5.0,7.5,10.0,9.0,7.5,,8.222,10.0,5.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,7.72685,6.4,9.9,Ametista,3.0,0,0,0,1.0
RA-425,2022,2.0,L,12.0,Masculino,2022,0,Escola Pública,Pública,Topázio,8.117,5.0,9.0,10.0,9.0,7.5,,7.5,9.0,9.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,8.10555,7.5,9.9,Topázio,3.0,0,0,0,1.0
RA-426,2022,2.0,M,14.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.35,5.0,4.6,6.5,9.0,7.5,,7.111,2.3,6.8,,4.0,-2,Moderada,1,0.0,3.0,False,0,-1,5.0,6.329158333,5.0,7.6,Ágata,3.0,1,0,1,1.0
RA-428,2022,2.0,M,13.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.683,5.0,9.5,8.7,6.8,7.5,,7.111,10.0,9.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,7.821816667,7.2,9.5,Ametista,3.0,0,0,0,0.0
RA-430,2022,2.0,M,13.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.585,5.0,8.5,8.6,9.5,7.5,,6.611,7.5,9.5,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,7.146716667,6.4,9.3,Ametista,3.0,1,0,1,1.0
RA-432,2022,2.0,M,14.0,Feminino,2019,3,Escola Pública,Pública,Ágata,6.34,5.0,5.1,6.8,10.0,5.0,,6.611,5.7,4.5,,4.0,-2,Moderada,1,0.0,3.0,False,0,-2,5.0,6.850183333,5.2,9.0,Ágata,3.0,1,0,1,0.0
RA-433,2022,2.0,M,12.0,Masculino,2022,0,Escola Pública,Pública,Quartzo,5.557,5.0,2.6,7.3,8.5,5.0,,5.778,2.2,3.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,6.5982,4.8,7.2,Ágata,2.0,1,0,1,0.0
RA-434,2022,2.0,M,11.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.403,10.0,5.7,8.1,9.0,7.5,,6.778,4.8,6.5,,2.0,0,Em fase,0,0.0,3.0,False,0,-1,5.0,7.069766667,6.6,8.0,Ametista,2.0,1,1,1,1.0
RA-436,2022,2.0,M,11.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.687,10.0,2.0,8.1,9.5,7.5,,6.611,4.0,0.0,,2.0,0,Em fase,0,0.0,3.0,False,0,-1,5.0,5.322366667,3.4,4.7,Quartzo,2.0,1,1,1,1.0
RA-437,2022,2.0,M,13.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.875,5.0,5.8,8.3,8.5,7.5,,6.611,6.0,5.5,,3.0,-1,Moderada,1,0.0,3.0,False,0,-2,5.0,6.947366667,4.7,8.4,Ágata,2.0,1,1,1,0.0
RA-438,2022,2.0,M,10.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.764,10.0,7.3,8.7,8.0,7.5,,6.889,6.5,8.0,,2.0,0,Em fase,0,0.0,3.0,False,0,0,10.0,6.9883,5.4,7.5,Ágata,2.0,0,0,0,1.0
RA-440,2022,2.0,P,11.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.329,10.0,5.5,9.0,9.5,6.9,,5.833,6.0,5.0,,2.0,0,Em fase,0,0.0,3.0,False,0,0,10.0,6.989208333,6.2,8.2,Ágata,3.0,0,0,0,1.0
RA-442,2022,2.0,P,11.0,Feminino,2022,0,Escola Pública,Pública,Topázio,8.226,10.0,7.5,8.2,10.0,7.5,,8.222,9.0,6.0,,2.0,0,Em fase,0,0.0,3.0,False,0,0,10.0,6.814166667,5.8,7.6,Ágata,3.0,0,0,0,1.0
RA-443,2022,2.0,P,13.0,Feminino,2019,3,Escola Pública,Pública,Ametista,7.482,5.0,5.6,9.1,9.0,7.5,,8.5,8.0,3.2,,3.0,-1,Moderada,1,1.0,3.0,False,0,-1,5.0,6.895508333,7.6,7.5,Ágata,3.0,1,0,1,1.0
RA-444,2022,2.0,P,11.0,Masculino,2018,4,Escola Pública,Pública,Ágata,6.665,10.0,3.1,7.2,9.0,5.0,,7.778,1.5,4.7,,2.0,0,Em fase,0,0.0,3.0,False,0,1,10.0,5.958791667,4.7,7.9,Quartzo,3.0,0,0,0,1.0
RA-445,2022,2.0,P,12.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.924,5.0,3.8,9.4,9.0,7.5,,7.5,0.0,7.5,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,7.9087,8.4,8.8,Ametista,2.0,1,0,1,0.0
RA-449,2022,2.0,P,12.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.143,5.0,7.0,6.0,,7.5,,8.111,6.0,8.0,,3.0,-1,Moderada,1,0.0,3.0,False,1,0,10.0,7.396508333,7.0,7.2,Ametista,3.0,0,0,0,0.0
RA-450,2022,2.0,Q,13.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.843,5.0,7.5,9.1,10.0,7.5,,8.111,6.8,8.2,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,6.819625,5.4,8.4,Ágata,3.0,1,0,1,1.0
RA-451,2022,2.0,Q,13.0,Feminino,2019,3,Escola Pública,Pública,Ágata,6.434,5.0,6.1,6.0,9.0,6.3,,6.889,3.1,9.2,,3.0,-1,Moderada,1,0.0,3.0,False,0,-2,5.0,8.386033333,8.9,9.5,Topázio,2.0,1,1,1,0.0
RA-454,2022,2.0,Q,14.0,Masculino,2018,4,Escola Pública,Pública,Quartzo,5.561,5.0,2.3,8.6,9.5,5.0,,5.444,0.0,4.7,,4.0,-2,Moderada,1,0.0,3.0,False,0,-2,5.0,4.603416667,2.6,7.5,Quartzo,3.0,1,0,1,1.0
RA-456,2022,2.0,Q,12.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.193,5.0,7.3,8.2,6.4,6.3,,8.389,6.0,8.7,,3.0,-1,Moderada,1,1.0,3.0,False,0,-1,5.0,7.518,9.9,8.3,Ametista,2.0,1,0,1,0.0
RA-457,2022,2.0,Q,12.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.68,5.0,8.5,8.8,8.0,7.5,,7.667,7.0,10.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,8.256833333,8.1,8.6,Topázio,3.0,0,0,0,0.0
RA-458,2022,2.0,Q,13.0,Masculino,2019,3,Escola Pública,Pública,Ágata,6.512,5.0,5.6,7.7,8.0,7.5,,5.833,4.7,6.5,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,6.312083333,3.8,6.9,Ágata,3.0,1,0,1,1.0
RA-459,2022,2.0,Q,12.0,Masculino,2019,3,Escola Pública,Pública,Ametista,7.28,5.0,7.3,9.1,7.0,8.1,,7.222,5.3,9.2,,3.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,8.240016667,8.3,9.3,Topázio,3.0,0,0,0,0.0
RA-461,2022,2.0,Q,12.0,Feminino,2018,4,Escola Pública,Pública,Quartzo,5.451,5.0,3.8,6.7,,7.5,,7.222,1.5,6.2,,3.0,-1,Moderada,1,0.0,3.0,False,1,-1,5.0,7.2379,7.4,7.9,Ametista,2.0,1,0,1,0.0
RA-462,2022,2.0,Q,14.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.626,5.0,3.6,8.5,10.0,7.5,,6.778,2.0,5.2,,4.0,-2,Moderada,1,0.0,3.0,False,0,-2,5.0,6.2267,2.7,8.1,Ágata,3.0,1,0,1,1.0
RA-463,2022,2.0,U,12.0,Feminino,2020,2,Escola Pública,Pública,Ágata,6.41,5.0,2.5,7.8,10.0,7.5,,7.389,2.0,3.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,6.382383333,4.0,5.4,Ágata,3.0,0,0,0,1.0
RA-464,2022,2.0,U,13.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.745,5.0,4.8,8.0,7.5,7.5,,7.722,2.7,7.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,6.081675,3.0,7.7,Ágata,3.0,1,0,1,1.0
RA-465,2022,2.0,U,11.0,Masculino,2019,3,Escola Pública,Pública,Ametista,8.012,10.0,7.8,7.9,8.0,7.5,,8.444,9.3,6.3,,2.0,0,Em fase,0,1.0,3.0,False,0,0,10.0,8.012875,8.5,9.4,Topázio,3.0,0,0,0,0.0
RA-466,2022,2.0,U,13.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.826,5.0,3.3,9.7,8.5,7.5,,7.556,0.5,6.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,-2,5.0,6.595533333,4.5,7.6,Ágata,2.0,1,1,1,1.0
RA-467,2022,2.0,U,13.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.38,5.0,5.5,8.4,5.8,5.0,,7.111,5.0,6.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,6.552916667,5.2,9.2,Ágata,3.0,1,0,1,0.0
RA-468,2022,2.0,U,13.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.313,5.0,4.1,6.7,9.5,7.5,,6.722,4.5,3.7,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,5.911108333,3.4,6.0,Quartzo,3.0,1,0,1,1.0
RA-469,2022,2.0,U,11.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.624,10.0,5.7,9.6,9.0,5.0,,7.833,6.2,5.2,,2.0,0,Em fase,0,0.0,3.0,False,0,-1,5.0,7.482533333,7.8,9.3,Ametista,2.0,1,1,1,1.0
RA-470,2022,2.0,U,13.0,Feminino,2019,3,Escola Pública,Pública,Ametista,7.378,5.0,6.3,9.7,8.0,7.5,,7.5,5.3,7.3,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,6.993766667,4.9,9.2,Ágata,3.0,1,0,1,1.0
RA-471,2022,2.0,U,13.0,Feminino,2020,2,Escola Pública,Pública,Ágata,6.535,5.0,6.3,8.5,3.5,5.0,,8.056,5.7,6.8,,3.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,6.855541667,5.0,9.0,Ágata,3.0,0,0,0,0.0
RA-472,2022,2.0,U,12.0,Feminino,2022,0,Escola Pública,Pública,Quartzo,5.93,5.0,2.0,7.0,9.0,7.5,,7.056,1.8,2.2,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,6.6858,5.5,7.1,Ágata,2.0,1,0,1,0.0
RA-474,2022,2.0,U,13.0,Masculino,2019,3,Escola Pública,Pública,Ágata,6.446,5.0,3.0,9.1,9.5,7.5,,6.0,1.3,4.7,,3.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,5.283583333,3.3,7.8,Quartzo,3.0,1,0,1,1.0
RA-476,2022,2.0,U,12.0,Feminino,2019,3,Escola Pública,Pública,Ágata,6.931,5.0,5.5,9.3,9.0,4.4,,7.556,5.0,6.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,6.492408333,4.1,7.0,Ágata,3.0,0,0,0,1.0
RA-478,2022,2.0,U,12.0,Feminino,2019,3,Escola Pública,Pública,Ágata,6.709,5.0,4.9,9.1,8.5,5.6,,7.056,3.8,6.0,,3.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,6.443616667,4.4,7.3,Ágata,3.0,0,0,0,1.0
RA-479,2022,1.0,A,10.0,Masculino,2020,2,Rede Decisão,Privada/Bolsa,Topázio,8.465,5.0,9.8,9.2,8.0,7.5,,9.5,10.0,9.7,,2.0,-1,Moderada,1,1.0,3.0,False,0,0,10.0,8.988866667,9.7,10.0,Topázio,2.0,0,0,0,0.0
RA-480,2022,1.0,A,10.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.502,5.0,6.3,8.8,9.0,7.5,,8.444,6.8,5.7,,2.0,-1,Moderada,1,1.0,3.0,False,0,-1,5.0,8.226408333,7.9,9.7,Topázio,1.0,1,0,1,0.0
RA-483,2022,1.0,A,11.0,Feminino,2019,3,Escola Pública,Pública,Quartzo,5.263,5.0,2.4,4.8,9.0,5.0,,6.833,2.0,2.8,,2.0,-1,Moderada,1,0.0,3.0,False,0,-2,5.0,6.3972,5.6,6.0,Ágata,1.0,1,1,1,0.0
RA-484,2022,1.0,A,11.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.71,5.0,6.5,8.7,9.5,5.0,,6.389,8.0,5.0,,2.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,5.515466667,3.6,7.5,Quartzo,2.0,1,0,1,1.0
RA-486,2022,1.0,A,10.0,Feminino,2020,2,Escola Pública,Pública,Ametista,7.621,5.0,7.3,9.9,10.0,7.5,,7.222,6.7,7.8,,2.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,7.1043,6.2,6.4,Ametista,2.0,0,0,0,1.0
RA-487,2022,1.0,A,10.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Topázio,8.417,5.0,9.6,9.7,7.5,7.5,,9.333,9.7,9.5,,2.0,-1,Moderada,1,1.0,3.0,False,0,0,10.0,8.988866667,9.5,9.9,Topázio,2.0,0,0,0,0.0
RA-490,2022,1.0,A,10.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.576,5.0,7.7,8.2,7.9,7.5,,8.722,6.0,9.3,,2.0,-1,Moderada,1,1.0,3.0,False,0,0,10.0,7.429466667,5.8,7.9,Ametista,2.0,0,0,0,1.0
RA-491,2022,1.0,A,11.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.461,5.0,7.0,9.7,7.5,7.5,,7.722,6.0,8.0,,2.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,7.560533333,5.0,9.6,Ametista,2.0,0,0,0,0.0
RA-493,2022,1.0,B,9.0,Feminino,2020,2,Escola Pública,Pública,Topázio,8.306,10.0,7.2,9.4,10.0,7.5,,8.278,7.3,7.0,,1.0,0,Em fase,0,0.0,3.0,False,0,0,10.0,7.934366667,6.0,9.6,Ametista,2.0,0,0,0,1.0
RA-494,2022,1.0,B,11.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.407,5.0,5.8,8.3,6.4,5.0,,6.944,6.3,5.2,,2.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,7.116633333,6.8,9.0,Ametista,2.0,1,0,1,0.0
RA-495,2022,1.0,B,11.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.857,5.0,8.4,8.9,9.0,7.5,,8.056,8.0,8.8,,2.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,7.417366667,7.4,8.4,Ametista,2.0,1,0,1,1.0
RA-496,2022,1.0,B,11.0,Masculino,2018,4,Escola Pública,Pública,Ágata,6.683,5.0,5.7,6.8,8.5,7.5,,7.556,5.8,5.5,,2.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,6.603666667,8.3,7.1,Ágata,2.0,1,0,1,1.0
RA-497,2022,1.0,B,13.0,Feminino,2016,6,Rede Decisão,Privada/Bolsa,Ágata,6.323,5.0,5.1,9.2,6.9,5.0,,5.833,4.2,6.0,,3.0,-2,Moderada,1,0.0,3.0,False,0,-2,5.0,5.7191,3.5,8.7,Quartzo,2.0,1,0,1,1.0
RA-499,2022,1.0,B,10.0,Masculino,2020,2,Escola Pública,Pública,Ametista,7.826,5.0,8.2,10.0,8.5,7.5,,7.444,8.2,8.2,,2.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,7.8883,6.6,10.0,Ametista,2.0,0,0,0,0.0
RA-500,2022,1.0,B,10.0,Feminino,2020,2,Escola Pública,Pública,Topázio,8.232,5.0,9.5,10.0,9.0,7.5,,7.889,9.5,9.5,,2.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,8.427533333,7.9,10.0,Topázio,2.0,0,0,0,0.0
RA-501,2022,1.0,B,9.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.794,10.0,6.8,8.8,8.5,7.5,,7.333,8.0,5.7,,1.0,0,Em fase,0,0.0,3.0,False,0,-1,5.0,8.1357,8.9,8.4,Topázio,1.0,1,1,1,0.0
RA-502,2022,1.0,B,8.0,Feminino,2021,1,Rede Decisão,Privada/Bolsa,Topázio,8.287,10.0,7.4,9.7,9.5,7.5,,7.778,6.7,8.2,,0.0,1,Em fase,0,0.0,3.0,False,0,0,10.0,8.749075,8.0,9.8,Topázio,1.0,0,1,1,0.0
RA-503,2022,1.0,B,10.0,Masculino,2020,2,Escola Pública,Pública,Ametista,7.95,5.0,8.8,10.0,8.5,7.5,,7.5,8.7,9.0,,2.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,8.4682,8.7,10.0,Topázio,2.0,0,0,0,0.0
RA-504,2022,1.0,B,9.0,Feminino,2021,1,Escola Pública,Pública,Topázio,8.072,10.0,8.0,8.9,8.5,7.5,,7.556,7.8,8.2,,1.0,0,Em fase,0,0.0,3.0,False,0,0,10.0,8.299533333,7.9,8.3,Topázio,1.0,0,0,0,0.0
RA-506,2022,1.0,B,12.0,Masculino,2020,2,Escola Pública,Pública,Ametista,7.132,5.0,7.2,7.3,9.5,7.5,,7.278,8.3,6.0,,3.0,-2,Moderada,1,0.0,3.0,False,0,-1,5.0,7.750033333,8.5,8.1,Ametista,2.0,1,0,1,0.0
RA-508,2022,1.0,C,10.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.575,5.0,4.5,7.4,8.0,7.5,,7.556,0.0,9.0,,2.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,7.671633333,7.5,8.6,Ametista,2.0,0,0,0,0.0
RA-509,2022,1.0,C,12.0,Feminino,2018,4,Escola Pública,Pública,Ametista,7.808,5.0,9.2,8.2,9.0,7.5,,7.833,9.3,9.0,,3.0,-2,Moderada,1,0.0,3.0,False,0,-1,5.0,7.606033333,8.6,8.1,Ametista,2.0,1,0,1,1.0
RA-513,2022,1.0,C,9.0,Masculino,2021,1,Escola Pública,Pública,Topázio,8.229,10.0,8.3,9.6,9.0,5.6,,7.778,8.2,8.5,,1.0,0,Em fase,0,0.0,3.0,False,0,0,10.0,8.297866667,7.5,9.7,Topázio,2.0,0,0,0,0.0
RA-514,2022,1.0,C,9.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.039,10.0,4.8,9.7,8.0,7.5,,5.889,2.0,7.5,,1.0,0,Em fase,0,0.0,3.0,False,0,-1,5.0,5.823133333,5.5,7.5,Quartzo,1.0,1,1,1,1.0
RA-516,2022,1.0,C,9.0,Masculino,2019,3,Rede Decisão,Privada/Bolsa,Topázio,8.903,10.0,9.9,9.7,10.0,7.5,,8.056,10.0,9.8,,1.0,0,Em fase,0,0.0,3.0,False,0,0,10.0,8.6807,9.3,9.8,Topázio,2.0,0,0,0,1.0
RA-517,2022,1.0,D,12.0,Feminino,2017,5,Escola Pública,Pública,Ametista,7.604,5.0,7.7,9.5,6.9,7.5,,7.833,7.8,7.5,,3.0,-2,Moderada,1,0.0,3.0,False,0,-1,5.0,6.3104,6.6,9.0,Ágata,2.0,1,0,1,1.0
RA-518,2022,1.0,D,10.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.661,5.0,7.5,9.4,9.0,7.5,,7.5,6.0,9.0,,2.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,7.5762,6.7,8.5,Ametista,2.0,0,0,0,1.0
RA-519,2022,1.0,D,9.0,Masculino,2022,0,Escola Pública,Pública,Ametista,8.0,10.0,7.5,9.6,7.4,7.5,,7.333,7.0,8.0,,1.0,0,Em fase,0,0.0,3.0,False,0,-1,5.0,8.0177,7.4,9.9,Topázio,1.0,1,1,1,0.0
RA-521,2022,1.0,D,9.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.725,10.0,6.0,10.0,9.0,5.0,,7.5,5.0,7.0,,1.0,0,Em fase,0,0.0,3.0,False,0,-1,5.0,6.768666667,7.9,9.9,Ágata,1.0,1,1,1,1.0
RA-522,2022,1.0,D,9.0,Masculino,2021,1,Escola Pública,Pública,Topázio,8.306,10.0,7.5,9.1,9.5,7.5,,8.167,7.0,8.0,,1.0,0,Em fase,0,0.0,3.0,False,0,-1,5.0,7.890533333,8.3,9.2,Ametista,1.0,1,1,1,1.0
RA-524,2022,1.0,D,11.0,Masculino,2019,3,Escola Pública,Pública,Ágata,6.947,5.0,9.1,9.4,,5.0,,8.056,9.0,9.2,,2.0,-1,Moderada,1,0.0,3.0,False,1,-1,5.0,7.331133333,8.9,9.2,Ametista,2.0,1,0,1,0.0
RA-525,2022,1.0,D,11.0,Feminino,2021,1,Escola Pública,Pública,Ametista,8.013,5.0,8.6,9.3,9.0,7.5,,8.167,8.3,8.8,,2.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,7.911366667,9.2,8.6,Ametista,2.0,1,0,1,1.0
RA-526,2022,1.0,D,12.0,Masculino,2022,0,Escola Pública,Pública,Topázio,8.079,5.0,8.0,9.9,10.0,7.5,,8.167,7.7,8.3,,3.0,-2,Moderada,1,0.0,3.0,False,0,-1,5.0,8.0957,8.8,9.8,Topázio,2.0,1,0,1,0.0
RA-527,2022,1.0,D,9.0,Feminino,2022,0,Escola Pública,Pública,Ametista,8.025,10.0,6.5,10.0,8.5,7.5,,7.5,5.0,8.0,,1.0,0,Em fase,0,0.0,3.0,False,0,-1,5.0,7.5682,6.5,9.1,Ametista,1.0,1,1,1,1.0
RA-528,2022,1.0,D,11.0,Masculino,2021,1,Escola Pública,Pública,Quartzo,5.335,5.0,4.0,6.2,,7.5,,6.944,5.3,2.7,,2.0,-1,Moderada,1,0.0,3.0,False,1,-1,5.0,7.6892,8.2,8.5,Ametista,2.0,1,0,1,0.0
RA-529,2022,1.0,D,12.0,Masculino,2020,2,Escola Pública,Pública,Ágata,6.51,5.0,5.2,8.9,8.5,5.0,,6.556,3.3,7.0,,3.0,-2,Moderada,1,0.0,3.0,False,0,-2,5.0,7.278991667,6.8,9.6,Ametista,1.0,1,0,1,0.0
RA-530,2022,1.0,E,10.0,Masculino,2019,3,Escola Pública,Pública,Topázio,8.338,5.0,8.9,9.0,10.0,7.5,,9.056,9.0,8.8,,2.0,-1,Moderada,1,1.0,3.0,False,0,0,10.0,7.653033333,5.7,8.8,Ametista,2.0,0,0,0,1.0
RA-531,2022,1.0,E,10.0,Masculino,2022,0,Escola Pública,Pública,Ametista,8.057,5.0,7.8,9.8,9.5,7.5,,8.167,8.7,7.0,,2.0,-1,Moderada,1,0.0,3.0,False,0,0,10.0,8.3252,7.7,10.0,Topázio,2.0,0,0,0,0.0
RA-533,2022,1.0,E,10.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.962,5.0,6.0,8.8,8.5,5.6,,7.333,5.0,7.0,,2.0,-1,Moderada,1,0.0,3.0,False,0,-1,5.0,7.434866667,5.8,9.3,Ametista,1.0,1,0,1,0.0
RA-534,2022,1.0,E,12.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.131,5.0,7.1,7.4,9.0,7.5,,7.333,6.5,7.7,,3.0,-2,Moderada,1,0.0,3.0,False,0,-1,5.0,5.8385,5.4,8.1,Quartzo,2.0,1,0,1,1.0
RA-535,2022,1.0,F,10.0,Feminino,2019,3,Escola Pública,Pública,Ágata,6.953,5.0,5.1,9.2,9.0,7.5,,6.917,4.7,5.5,,2.0,-1,Moderada,1,0.0,2.0,False,0,0,10.0,8.0027,5.6,9.4,Topázio,2.0,0,0,0,0.0
RA-536,2022,1.0,F,10.0,Feminino,2020,2,Escola Pública,Pública,Ametista,7.106,5.0,6.0,8.9,9.5,5.6,,7.75,6.3,5.7,,2.0,-1,Moderada,1,0.0,2.0,False,0,0,10.0,7.759533333,5.9,9.3,Ametista,2.0,0,0,0,0.0
RA-538,2022,1.0,F,13.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.309,5.0,6.8,7.5,8.5,5.6,,5.583,4.5,9.0,,3.0,-2,Moderada,1,0.0,2.0,False,0,-1,5.0,6.413466667,4.7,8.6,Ágata,2.0,1,0,1,0.0
RA-539,2022,1.0,F,11.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.665,5.0,7.5,9.3,8.5,6.9,,8.417,6.8,8.2,,2.0,-1,Moderada,1,1.0,2.0,False,0,-1,5.0,7.796866667,8.5,8.6,Ametista,2.0,1,0,1,0.0
RA-540,2022,1.0,F,10.0,Feminino,2019,3,Escola Pública,Pública,Ametista,7.303,5.0,7.0,9.5,8.5,5.6,,7.5,6.8,7.2,,2.0,-1,Moderada,1,0.0,2.0,False,0,0,10.0,8.216033333,7.1,8.8,Topázio,2.0,0,0,0,0.0
RA-542,2022,1.0,F,11.0,Feminino,2019,3,Escola Pública,Pública,Ametista,7.221,5.0,6.5,9.8,8.0,6.3,,7.417,5.3,7.7,,2.0,-1,Moderada,1,0.0,2.0,False,0,-1,5.0,7.816533333,6.3,9.7,Ametista,2.0,1,0,1,0.0
RA-543,2022,1.0,F,10.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.05,5.0,6.5,9.8,8.5,4.4,,7.167,5.0,8.0,,2.0,-1,Moderada,1,0.0,2.0,False,0,0,10.0,7.971833333,6.5,9.8,Ametista,2.0,0,0,0,0.0
RA-546,2022,1.0,G,11.0,Feminino,2021,1,Escola Pública,Pública,Ágata,6.77,5.0,5.6,7.9,9.0,5.0,,7.917,3.3,7.8,,2.0,-1,Moderada,1,0.0,2.0,False,0,-1,5.0,6.031666667,5.7,7.2,Ágata,2.0,1,0,1,1.0
