RA,ANO,FASE,TURMA,IDADE,GENERO,ANO_INGRESSO,ANOS_NA_PM,INSTITUICAO,INSTITUICAO_GRUPO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,MAT,POR,ING,FASE_IDEAL,DEFASAGEM,CLASSE_DEFASAGEM,EM_DEFASAGEM,PONTO_VIRADA,N_AVALIACOES,SEM_AVALIACAO,IAA_ZERADO,DEFASAGEM_T1,IAN_T1,INDE_T1,IDA_T1,IEG_T1,PEDRA_T1,FASE_T1,DEFASADO_T1,PIOROU_DEFASAGEM,RISCO_DEFASAGEM,QUEDA_INDE
RA-152,2023,4.0,4M,16.0,Feminino,2022,1,Pública,Pública,Ágata,6.30695,5.0,4.5,7.7,7.9,2.52,7.8125,7.71,4.0,5.0,4.5,6.0,-2,Moderada,1,,4.0,False,0,-2,5.0,6.5837938596,5.166666666666667,7.337719298333333,Ágata,5.0,1,0,1,0.0
RA-270,2023,4.0,4M,14.0,Feminino,2019,4,Privada - Programa de Apadrinhamento,Privada/Bolsa,Ametista,7.982633333,10.0,6.6,9.0,9.2,2.52,8.75,9.1275,7.7,6.2,5.8,4.0,0,Em fase,0,,4.0,False,0,2,10.0,4.79255,0.0,0.0,Quartzo,7.0,0,0,0,1.0
RA-271,2023,4.0,4M,16.0,Feminino,2022,1,Pública,Pública,Ágata,6.140333333,5.0,5.9,9.3,,2.52,8.125,7.7125,4.3,7.0,6.3,6.0,-2,Moderada,1,,4.0,False,1,-1,5.0,7.400633333333334,7.333333333333333,8.958333333333334,Ametista,5.0,1,0,1,0.0
RA-299,2023,4.0,4M,14.0,Feminino,2019,4,Privada - Programa de Apadrinhamento,Privada/Bolsa,Ágata,6.796541667,10.0,6.1,9.6,,2.52,7.96875,8.005,5.0,7.2,6.2,4.0,0,Em fase,0,,4.0,False,1,1,10.0,8.177186956533333,8.166666666666666,8.963768115999999,Topázio,5.0,0,0,0,0.0
RA-316,2023,4.0,4M,14.0,Feminino,2022,1,Pública,Pública,Topázio,8.436908333,10.0,5.7,9.5,10.0,7.52,8.59375,8.96,6.3,5.7,5.0,4.0,0,Em fase,0,,4.0,False,0,0,10.0,8.708925,8.0,10.0,Topázio,5.0,0,0,0,0.0
RA-318,2023,4.0,4M,15.0,Feminino,2019,4,Pública,Pública,Ágata,6.856575,5.0,4.9,8.1,7.9,6.26,7.96875,7.71,5.0,5.0,4.7,5.0,-1,Moderada,1,,4.0,False,0,-1,5.0,7.025000925866668,4.666666666666667,9.129629629666667,Ametista,5.0,1,0,1,0.0
RA-274,2023,4.0,4M,12.0,Feminino,2019,4,Privada - Programa de Apadrinhamento,Privada/Bolsa,Topázio,8.137625,10.0,7.5,9.5,7.5,5.63,7.65625,8.295,7.0,7.7,7.8,3.0,1,Em fase,0,,4.0,False,0,2,10.0,8.651029629666667,9.333333333333334,9.648148147999999,Topázio,5.0,0,0,0,0.0
RA-320,2023,4.0,4M,14.0,Feminino,2022,1,Pública,Pública,Topázio,8.393508333,10.0,5.5,9.9,9.2,7.52,8.59375,8.96,5.7,6.0,4.7,4.0,0,Em fase,0,,4.0,False,0,0,10.0,8.442258333333335,6.666666666666667,10.0,Topázio,5.0,0,0,0,0.0
RA-277,2023,4.0,4M,15.0,Masculino,2021,2,Pública,Pública,Ametista,7.7284,5.0,5.5,9.9,8.3,7.52,8.125,8.7525,5.7,6.0,4.8,5.0,-1,Moderada,1,,4.0,False,0,2,10.0,8.0689833334,6.8999999999999995,9.741666667,Topázio,7.0,0,0,0,0.0
RA-278,2023,4.0,4M,13.0,Masculino,2018,5,Pública,Pública,Ametista,7.1935,10.0,5.6,9.8,,5.63,8.75,8.3775,6.0,5.3,5.5,3.0,1,Em fase,0,,4.0,False,1,1,10.0,8.907314492800001,9.333333333333334,9.855072463666666,Topázio,5.0,0,0,0,0.0
