RA,ANO,FASE,TURMA,IDADE,GENERO,ANO_INGRESSO,ANOS_NA_PM,INSTITUICAO,INSTITUICAO_GRUPO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,MAT,POR,ING,FASE_IDEAL,DEFASAGEM,CLASSE_DEFASAGEM,EM_DEFASAGEM,PONTO_VIRADA,N_AVALIACOES,SEM_AVALIACAO,IAA_ZERADO
RA-43,2022,5.0,A,16.0,Feminino,2019,3,Escola Pública,Pública,Quartzo,5.486,5.0,4.3,6.5,6.3,5.6,,5.958,4.0,5.8,3.2,6.0,-1,Moderada,1,0.0,3.0,False,0
RA-44,2022,5.0,A,17.0,Feminino,2021,1,Escola Pública,Pública,Quartzo,5.542,5.0,3.0,5.9,5.0,7.5,,7.292,2.3,3.5,3.2,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-45,2022,5.0,A,15.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Ametista,7.591,10.0,6.8,8.9,7.9,5.6,,7.417,6.3,5.2,8.8,5.0,0,Em fase,0,0.0,3.0,False,0
RA-46,2022,5.0,A,17.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.048,5.0,2.1,8.4,8.8,6.3,,7.083,2.8,2.8,0.7,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-47,2022,5.0,A,17.0,Feminino,2022,0,Escola Pública,Pública,Quartzo,5.677,5.0,2.1,6.3,7.9,7.5,,7.042,2.5,2.2,1.5,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-48,2022,5.0,A,15.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Ametista,8.006,10.0,8.1,8.4,6.7,7.5,,8.5,6.7,8.0,9.5,5.0,0,Em fase,0,1.0,3.0,False,0
RA-49,2022,5.0,A,17.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.304,5.0,3.9,7.4,7.5,7.5,,7.042,1.5,4.2,6.2,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-50,2022,5.0,A,18.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.138,2.5,7.8,8.4,7.5,7.5,,7.542,6.5,7.3,9.7,8.0,-3,Severa,1,0.0,3.0,False,0
RA-51,2022,5.0,B,17.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.488,5.0,5.0,7.6,8.8,7.5,,6.5,4.5,4.5,6.0,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-52,2022,5.0,B,13.0,Masculino,2018,4,Rede Decisão,Privada/Bolsa,Ametista,7.861,10.0,6.2,8.9,9.6,7.5,,7.5,3.3,6.3,8.8,3.0,2,Em fase,0,0.0,3.0,False,0
RA-53,2022,5.0,B,17.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.725,5.0,7.0,7.0,9.2,7.5,,6.458,6.0,8.0,,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-54,2022,5.0,B,16.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.058,5.0,4.8,6.9,7.9,7.5,,6.125,3.0,6.5,,6.0,-1,Moderada,1,0.0,3.0,False,0
RA-55,2022,5.0,B,16.0,Feminino,2017,5,Escola Pública,Pública,Ágata,6.576,5.0,7.5,7.6,7.1,5.6,,6.5,6.7,7.8,7.9,6.0,-1,Moderada,1,0.0,3.0,False,0
RA-56,2022,5.0,B,15.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Topázio,8.404,10.0,7.0,10.0,10.0,7.5,,8.25,4.5,6.5,10.0,5.0,0,Em fase,0,0.0,3.0,False,0
RA-57,2022,5.0,B,16.0,Masculino,2017,5,Rede Decisão,Privada/Bolsa,Ametista,7.305,5.0,8.4,8.1,7.1,5.6,,7.875,9.0,7.0,9.3,6.0,-1,Moderada,1,0.0,3.0,False,0
RA-58,2022,5.0,B,15.0,Masculino,2017,5,Rede Decisão,Privada/Bolsa,Topázio,8.136,10.0,7.2,9.2,9.6,6.3,,8.125,4.5,8.0,9.0,5.0,0,Em fase,0,0.0,3.0,False,0
RA-59,2022,5.0,B,17.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.642,5.0,7.2,9.3,9.2,7.5,,7.917,7.0,5.7,8.8,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-60,2022,5.0,B,18.0,Feminino,2021,1,Escola Pública,Pública,Quartzo,5.537,2.5,4.9,6.0,6.7,7.5,,6.167,5.0,6.2,3.5,8.0,-3,Severa,1,0.0,3.0,False,0
RA-61,2022,5.0,B,15.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.533,10.0,5.8,7.4,9.2,7.5,,7.875,1.7,6.3,9.3,5.0,0,Em fase,0,0.0,3.0,False,0
RA-62,2022,5.0,B,17.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.891,5.0,9.3,9.4,8.8,7.5,,7.25,8.5,10.0,,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-63,2022,5.0,B,16.0,Masculino,2018,4,Rede Decisão,Privada/Bolsa,Topázio,8.282,5.0,8.7,9.1,8.3,8.8,,9.417,8.2,8.2,9.7,6.0,-1,Moderada,1,1.0,3.0,False,0
RA-64,2022,5.0,B,16.0,Masculino,2019,3,Escola Pública,Pública,Ametista,7.368,5.0,7.5,8.1,7.1,8.1,,8.25,4.8,8.2,9.4,6.0,-1,Moderada,1,0.0,3.0,False,0
RA-65,2022,5.0,B,17.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.712,5.0,9.3,7.7,8.3,7.5,,7.875,9.0,9.5,9.5,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-66,2022,5.0,B,17.0,Feminino,2022,0,Escola Pública,Pública,Quartzo,5.665,5.0,4.5,5.6,7.5,7.5,,5.917,3.0,6.0,,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-67,2022,5.0,C,16.0,Feminino,2019,3,Escola Pública,Pública,Quartzo,5.195,5.0,3.6,3.0,5.8,7.5,,6.889,3.0,4.2,3.5,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-68,2022,5.0,C,16.0,Masculino,2019,3,Escola Pública,Pública,Ágata,6.438,5.0,4.0,6.0,8.3,7.5,,7.944,4.7,4.8,2.7,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-69,2022,5.0,C,16.0,Masculino,2018,4,Escola Pública,Pública,Quartzo,5.718,5.0,2.5,6.1,8.3,7.5,,6.167,4.7,2.6,0.3,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-70,2022,5.0,C,16.0,Feminino,2017,5,Escola Pública,Pública,Quartzo,5.712,5.0,2.9,6.6,8.8,5.0,,6.111,5.7,2.9,0.2,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-71,2022,5.0,C,17.0,Feminino,2019,3,Escola Pública,Pública,Quartzo,4.332,5.0,1.2,2.0,7.9,7.5,,5.833,1.3,2.2,0.0,7.0,-2,Moderada,1,0.0,4.0,False,0
RA-72,2022,5.0,C,17.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.64,5.0,7.8,7.5,8.3,7.5,,8.667,7.5,7.8,8.0,7.0,-2,Moderada,1,1.0,4.0,False,0
RA-73,2022,5.0,C,17.0,Feminino,2022,0,Escola Pública,Pública,Quartzo,5.271,5.0,3.3,3.0,7.1,7.5,,7.278,4.5,3.0,2.3,7.0,-2,Moderada,1,0.0,4.0,False,0
RA-74,2022,5.0,C,16.0,Masculino,2022,0,Escola Pública,Pública,Quartzo,4.989,5.0,2.0,3.3,9.6,7.5,,5.833,6.0,0.0,0.0,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-75,2022,5.0,F,16.0,Feminino,2022,0,Escola Pública,Pública,Quartzo,3.915,5.0,0.0,3.8,5.4,6.3,,4.625,0.0,0.0,,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-76,2022,5.0,F,15.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Topázio,9.105,10.0,8.7,9.1,10.0,8.1,,9.292,9.3,8.3,8.4,5.0,0,Em fase,0,1.0,4.0,False,0
RA-77,2022,5.0,F,16.0,Masculino,2019,3,Escola Pública,Pública,Quartzo,3.846,5.0,0.7,2.7,7.1,5.0,,4.625,0.3,1.8,0.0,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-78,2022,5.0,F,17.0,Masculino,2018,4,Rede Decisão,Privada/Bolsa,Ametista,7.04,5.0,7.2,6.6,8.3,5.6,,8.0,8.7,5.7,7.3,7.0,-2,Moderada,1,0.0,4.0,False,0
RA-79,2022,5.0,F,16.0,Feminino,2018,4,Rede Decisão,Privada/Bolsa,Ágata,6.847,5.0,8.9,6.3,5.4,5.6,,7.292,9.5,7.7,9.5,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-80,2022,5.0,K,16.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Ametista,7.29,5.0,7.1,8.3,9.2,5.0,,7.625,6.5,7.7,7.3,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-81,2022,5.0,K,14.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Ametista,7.675,10.0,6.0,9.2,9.2,5.0,,7.458,5.5,5.2,7.3,4.0,1,Em fase,0,0.0,4.0,False,0
RA-82,2022,5.0,K,17.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.596,5.0,5.5,6.8,8.8,7.5,,6.417,6.0,5.0,,7.0,-2,Moderada,1,0.0,4.0,False,0
RA-83,2022,5.0,K,17.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.671,5.0,6.8,6.8,7.9,7.5,,5.958,6.0,7.5,,7.0,-2,Moderada,1,0.0,4.0,False,0
RA-84,2022,5.0,K,17.0,Feminino,2018,4,Rede Decisão,Privada/Bolsa,Ágata,6.682,5.0,5.8,8.8,7.1,5.0,,6.75,5.7,6.5,5.2,7.0,-2,Moderada,1,0.0,4.0,False,0
RA-85,2022,5.0,K,15.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.243,10.0,4.3,7.3,6.7,5.0,,5.833,5.0,3.5,,5.0,0,Em fase,0,0.0,4.0,False,0
RA-86,2022,5.0,K,16.0,Masculino,2016,6,Rede Decisão,Privada/Bolsa,Ametista,7.566,5.0,6.7,9.6,7.5,5.6,,8.458,6.2,7.2,6.9,6.0,-1,Moderada,1,1.0,4.0,False,0
RA-87,2022,5.0,K,15.0,Masculino,2021,1,Rede Decisão,Privada/Bolsa,Topázio,8.712,10.0,8.8,9.6,8.3,7.5,,8.5,8.3,8.0,10.0,5.0,0,Em fase,0,1.0,4.0,False,0
RA-88,2022,5.0,K,17.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.498,5.0,6.5,9.2,7.1,5.6,,9.208,6.8,6.2,6.4,7.0,-2,Moderada,1,1.0,4.0,False,0
RA-89,2022,5.0,K,16.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.323,5.0,5.9,7.8,9.6,7.5,,8.0,7.5,5.7,4.7,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-90,2022,5.0,L,13.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Topázio,9.442,10.0,8.5,9.7,10.0,9.4,,9.75,7.7,8.0,9.8,3.0,2,Em fase,0,1.0,4.0,False,0
RA-91,2022,5.0,L,16.0,Feminino,2016,6,Rede Decisão,Privada/Bolsa,Ágata,6.645,5.0,6.6,5.7,9.2,5.6,,7.125,5.5,5.7,8.5,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-92,2022,5.0,L,16.0,Feminino,2016,6,Rede Decisão,Privada/Bolsa,Ágata,6.957,5.0,7.4,7.1,9.2,5.0,,6.667,7.8,5.5,8.8,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-93,2022,5.0,L,15.0,Feminino,2016,6,Rede Decisão,Privada/Bolsa,Topázio,8.941,10.0,8.5,9.7,8.3,8.1,,9.083,8.8,8.3,8.4,5.0,0,Em fase,0,1.0,4.0,False,0
RA-94,2022,5.0,L,15.0,Feminino,2018,4,Rede Decisão,Privada/Bolsa,Topázio,8.921,10.0,7.7,9.6,8.3,8.1,,9.583,7.0,6.7,9.5,5.0,0,Em fase,0,1.0,4.0,False,0
